id,name,address,contact_person,employee,geom,open,close,description,lat,lng,
S1,"Dapur Ikan Bilih Goreng, Rendang, Dendeng Kering ""Nidan Sumpu""","Jorong, Sumpur, Kabupaten Tanah Datar, Sumatera Barat",081374519594,3,0xE610000001030000000100000007000000B2CDC3A4871F59401CF31EADCAC4E0BFB1CDE3A1881F5940AB27DE69FAC5E0BFB3CDE3908A1F5940F2CDF32A95C5E0BFB3CD03268A1F5940183E28AC24C5E0BFB2CDA3A4891F5940C0B7CB6B46C5E0BFB2CDE3FB881F59401433064E76C4E0BFB2CDC3A4871F59401CF31EADCAC4E0BF,10:00:00,19:00:00,"Dapur Ikan Bilih Goreng, Rendang, Dendeng Kering ""NIDAN SUMPUR"" berada di Jorong, Sumpur, Kabupaten Tanah Datar, Sumatera Barat. Buka dari jam 09.00 - 19.00 WIB",-0.52407905,100.49273543,
S2,Dapur Bilih Goreng Bunda Ida,"Jalan Muaro mati jorong suduik, Nagari Sumpur Kec, Danau, Kecamatan Batipuh Selatan",081374519594,2,0xE610000001030000000100000005000000ADC90A5B681F5940F3D6F48DE33AE1BFADC94A556A1F5940956E0C4C8C3BE1BFADC98AD9691F5940870E6CE8CC3CE1BFADC90A2E681F5940ECCDCD28AB3CE1BFADC90A5B681F5940F3D6F48DE33AE1BF,09:00:00,18:00:00,"Dapur Bilih Goreng Bunda Ida berada di Jalan Muaro mati jorong suduik, Nagari Sumpur Kec, Danau, Kecamatan Batipuh Selatan. Buka dari jam 09.00 - 19.00 WIB",-0.53855526,100.4907994,"{""type"":""Polygon"",""coordinates"":[[[100.49074436238762,-0.538438584574321],[100.49086506179329,-0.5385190472911342],[100.49083555749412,-0.5386719264501644],[100.49073363355156,-0.5386558339072827],[100.49074436238762,-0.538438584574321]]]}"
S3,Salendang Bajaik Uni Nita,Desa Wisata Kampuang Minang Nagari Sumpu,081374519594,2,0xE61000000103000000010000000500000080D4995AE61F5940DCE4C16CD1E4E0BF80D49949E81F59406F206F2AA7E5E0BF81D4991FE51F59405CE1E266EDE6E0BF80D459ACE31F594036177A285BE6E0BF80D4995AE61F5940DCE4C16CD1E4E0BF,09:00:00,19:00:00,Salendang Bajaik Uni Nita berada di Desa Wisata Kampuang Minang Nagari Sumpu. Buka dari jam 09.00 - 19.00 WIB,-0.52806063,100.4984119,"{""type"":""Polygon"",""coordinates"":[[[100.49843468687504,-0.527931892792505],[100.4985527040717,-0.5280338124075693],[100.49835958502263,-0.5281893739220709],[100.49827107212514,-0.528119639450529],[100.49843468687504,-0.527931892792505]]]}"
